kata,kategori,pengucapan,penjelasan,arti
pomegranate,"buah, noun",ˈpä-mə-ˌgra-nət,Berry kemerahan beberapa bersel dengan ukuran jeruk dengan kulit kasar tebal dan banyak biji dengan aril crimson pulpy rasa asam asam,delima
apple,"buah, noun",ˈa-pəl,"Buah pome berdaging, biasanya bulat merah, kuning, atau hijau yang dapat dimakan dari pohon yang biasanya dibudidayakan (genus malus) dari keluarga mawar;juga: pohon apel",apel
durian,"buah, noun",ˈdu̇r-ē-ən,Buah oval besar yang lezat tapi berbau busuk dengan kulit berduri,durian
pepino,"buah, noun",pə-ˈpē-(ˌ)nō,Sebuah tanaman abadi yang lebat (solanum muricatum) dari keluarga nightshade yang berasal dari dataran tinggi beriklim di amerika selatan dan memiliki buah kuning bertanda ungu yang dapat dimakan;juga: buahnya,pepino
dragon fruit,"buah, noun",dragon fruit,"Buah besar biasanya oval untuk membungkam dari beberapa dari beberapa kaktus ereksi, luas, atau anggur (seperti genera selenicereus, hylocereus, atau sternocereus) yang memiliki kulit kasar dengan paku bersisik yang menonjol dan daging berair: pitaya;khususnya: buah dari kaktus yang dibudidayakan secara luas (hylocereus undatus) dari meksiko dan amerika tengah yang biasanya memiliki kulit merah muda atau merah cerah dan putih atau kadang -kadang merah, daging yang agak manis dengan banyak biji hitam kecil",buah naga
carambola,"buah, noun",ˌker-əm-ˈbō-lə,Buah tropis hijau hingga kuning 5-siku-siku,carambola
mangosteen,"buah, noun",ˈmaŋ-gə-ˌstēn,Buah ungu kemerahan gelap di asia tenggara dengan kulit tebal dan daging berair memiliki rasa sugestif baik buah persik dan nanas;juga: pohon (garcinia mangostana) dari keluarga saint-john's-wort yang menanggung manggis,manggis
persimmon,"buah, noun",pər-ˈsi-mən,"Salah satu genus (diospyros) pohon-pohon keluarga ebony dengan kayu halus yang keras, daun lonjong, dan bunga-bunga berbentuk lonceng kecil;khususnya: pohon as timur (d. virginiana) atau pohon jepang (d. kaki)",kesemak
jackfruit,"buah, noun",ˈjak-ˌfrüt,Pohon asia tropis besar (artocarpus heterophyllus) terkait dengan sukun yang menghasilkan kayu kuning berbutir halus dan buah-buahan besar yang mengandung bubur yang dapat dimakan dan biji bergizi;juga: buahnya,nangka
watermelon,"buah, noun",ˈwȯ-tər-ˌme-lən,"Buah lonjong atau bundar besar dengan kulit hijau atau putih yang keras sering bergaris atau beraneka ragam, puma pink berair manis, kekuningan, atau bubur merah, dan biasanya banyak biji",semangka
dates,"buah, noun",ˈdāt,Buah coklat yang dapat dimakan dari telapak tangan (phoenix dactylifera),tanggal
star fruit,"buah, noun",star fruit,Carambola,belimbing
kiwi,"buah, noun",ˈkē-(ˌ)wē,"Salah satu genus kecil (apteryx) burung -burung selandia baru yang tidak terbang dengan sayap yang belum sempurna, kaki gagah, tagihan panjang, dan bulu -bulu seperti rambut coklat keabu -abuan",kiwi
you,"buah, pronoun",ˈyü,Satu atau yang ditangani - digunakan sebagai kata ganti orang kedua tunggal atau jamak dalam hubungan tata bahasa apa pun kecuali yang posesif - digunakan sebelumnya hanya sebagai kata ganti jamak dari orang kedua dalam kasus datif atau akusatif sebagai objek langsung atau tidak langsung atau tidak langsungdari kata kerja atau sebagai objek preposisi,anda
papaya,"buah, noun",pə-ˈpī-ə,"Sebuah pohon amerika tropis (carica pepaya dari keluarga caricaceae, keluarga pepaya) yang memiliki buah -buahan yang dapat dimakan kuning dengan banyak biji hitam di rongga sentral;juga: buahnya",pepaya
soursop,"buah, noun",ˈsau̇(-ə)r-ˌsäp,Sebuah pohon tropis amerika kecil (annona muricata) dari keluarga custard-apple yang memiliki daun berbau pedas;juga: buahnya yang besar yang dapat dimakan yang memiliki duri berdaging dan bubur berserat sedikit asam,sirsop
bolts,"buah, verb",bolt,Untuk bergerak tiba -tiba atau dengan gugup: mulai,baut
i am,"buah, abbreviation",iam,Asosiasi internasional mesin dan pekerja aerospace,saya
cranberry,"buah, noun",ˈkran-ˌber-ē,Berry asam merah yang diproduksi oleh beberapa tanaman (seperti vaccinium oxycoccos dan v. macrocarpon) dari keluarga heath;juga: tanaman yang memproduksi ini,cranberi
dragon fruit,"buah, noun",dragon fruit,"Buah besar biasanya oval untuk membungkam dari beberapa dari beberapa kaktus ereksi, luas, atau anggur (seperti genera selenicereus, hylocereus, atau sternocereus) yang memiliki kulit kasar dengan paku bersisik yang menonjol dan daging berair: pitaya;khususnya: buah dari kaktus yang dibudidayakan secara luas (hylocereus undatus) dari meksiko dan amerika tengah yang biasanya memiliki kulit merah muda atau merah cerah dan putih atau kadang -kadang merah, daging yang agak manis dengan banyak biji hitam kecil",buah naga
pomelo,"buah, noun",ˈpä-mə-ˌlō,Jeruk bali,pomelo
passion fruit,"buah, noun",passion fruit,Buah yang dapat dimakan dari hairplower;khususnya: buah ungu atau kuning kecil bundar dari bunga passion brasil (passiflora edulis) yang ditanam secara komersial di bagian yang lebih hangat dari a.s.,markisa
mango,"buah, noun",ˈmaŋ-(ˌ)gō,"Buah ovoid besar yang biasanya besar atau lonjong dengan kulit merah kekuningan yang kuat, batu pusat yang keras, dan bubur aromatik berair;juga: pohon evergreen (mangifera indica) dari keluarga mete yang menanggung mangga",buah mangga
olive,"buah, noun",ˈä-liv,"Pohon evergreen mediterania (olea europaea dari keluarga oleaceae, keluarga zaitun) yang dibudidayakan untuk buah -buahannya yang drupaceous yang merupakan makanan penting dan sumber minyak;juga: buahnya",zaitun
soursop,"buah, noun",ˈsau̇(-ə)r-ˌsäp,Sebuah pohon tropis amerika kecil (annona muricata) dari keluarga custard-apple yang memiliki daun berbau pedas;juga: buahnya yang besar yang dapat dimakan yang memiliki duri berdaging dan bubur berserat sedikit asam,sirsop
strawberry,"buah, noun",ˈstrȯ-ˌber-ē,Buah berair yang dapat dimakan biasanya dari beberapa dari beberapa herbal beriklim rendah (genus fragaria) dari keluarga mawar yang secara teknis merupakan wadah pulpy yang membesar yang membawa banyak achene di permukaannya,stroberi
black cherry,"buah, noun",black cherry,Cherry besar (prunus serotina) dari amerika utara bagian timur dan tengah yang memiliki kelompok bunga putih kecil yang terkulai dan buah -buahan hitam atau ungu gelap astringen;juga: buahnya,ceri hitam
melon,"buah, noun",ˈme-lən,Salah satu dari berbagai labu manis (seperti muskmelon atau semangka) biasanya dimakan mentah sebagai buah -buahan,melon
noni,"buah, noun",ˈnō-(ˌ)nē,"Semak hijau atau pohon kecil (morinda citrifolia) dari keluarga madder yang berasal dari asia tenggara ke australia tetapi sekarang didistribusikan secara luas dan dibudidayakan di daerah hangat lainnya dan yang memiliki daun hijau mengkilap, bunga tubular putih, dan putih kekuningan,buah oval banyak unggulan dengan bau yang tidak menyenangkan dan murahan saat matang-juga disebut mulberry india",noni
betel nut,"buah, noun",betel nut,Benih astringen telapak tangan,kacang sirih
cherry,"buah, noun",ˈcher-ē,Salah satu dari banyak pohon dan semak (genus prunus) dari keluarga mawar yang memiliki warna kuning pucat hingga merah atau kehitaman berkulit halus yang melingkari biji halus dan yang termasuk beberapa yang dibudidayakan untuk buah-buahan atau bunga hiasnya atau bunga hiasnya,ceri
loquat,"buah, noun",ˈlō-ˌkwät,Pohon evergreen asia (eriobotrya japonica) dari keluarga mawar yang sering dibudidayakan untuk buahnya;juga: buah kecil yang dapat dimakan kuning yang digunakan terutama untuk pengawet,loquat
gnetum,"buah, noun",ˈnē-təm,Salah satu genus (gnetum dari keluarga gnetaceae) dari pohon -pohon tropis kecil dan tanaman merambat kayu yang gymnosperma dengan daun elips mengkilap dan biji ovoid berdaging;khususnya: pohon (g. gnemon) dari asia tenggara dan melanesia yang biasanya mencapai ketinggian 50 kaki (15 meter) dan sering dibudidayakan untuk benih dan daunnya yang dapat dimakan,gnetum
raisins,"buah, noun",ˈrā-zᵊn,Anggur dari beberapa varietas yang telah dikeringkan di bawah sinar matahari atau dengan panas buatan,kismis
red wine,"buah, noun",red wine,Anggur dengan warna yang dominan merah yang diturunkan selama fermentasi dari pigmen alami di kulit anggur berwarna gelap,anggur merah
rustle,"buah, verb",ˈrə-səl,Untuk membuat atau menyebabkan gemerisik,berdesir
wine,"buah, noun",ˈwīn,Jus fermentasi beralkohol dari anggur segar digunakan sebagai minuman,anggur
atemoya,"buah, noun",ˌä-tə-ˈmȯi-ə,Buah tropis pulped putih dari pohon yang merupakan hibrida sweetsop dan cherimoya,atemoya
starfruit,"buah, noun",star fruit,Carambola,belimbing
blackcurrant,"buah, noun",black currant,Sebuah kismis abadi eropa (ribes nigrum) yang membawa buah beri hitam aromatik yang digunakan terutama digunakan dalam minuman beralkohol (seperti cassis);juga: buahnya,blackcurrant
sapodilla,"buah, noun",ˌsa-pə-ˈdi-lə,"Pohon hijau amerika tropis (sinonim manilkara zapota achras zapota dari keluarga sapotaceae, keluarga sapodilla) dengan kayu kemerahan yang keras, lateks yang menghasilkan chicle, dan buah kecoklatan berkulit kasar dengan daging manis;juga: buahnya",sapodilla
honeydew,"buah, noun",ˈhə-nē-ˌdü,Deposit sakarin yang disekresikan pada daun tanaman biasanya dengan kutu daun atau serangga skala atau kadang -kadang oleh jamur,honeydew
green tea,"food_drink, noun",green tea,Teh yang berwarna terang dan terbuat dari daun yang belum dioksidasi sebelum dikeringkan,teh hijau
pierogi,"food_drink, noun",pə-ˈrō-gē,"Kasing adonan yang diisi dengan isian gurih (seperti daging, keju, atau sayuran) dan dimasak dengan mendidih dan kemudian menggoreng pan",pierogi
smoothie,"food_drink, noun",ˈsmü-t͟hē,"Minuman krim yang terbuat dari buah dicampur dengan jus, susu, atau yogurt",smoothie
bellini,"food_drink, noun",be-ˈlē-nē,Koktail prosecco atau anggur bersoda dan jus persik lainnya,bellini
coq au vin,"food_drink, noun",ˌkōk-ō-ˈvan,Ayam yang dimasak dengan anggur merah biasanya,coq au vin
goulash,"food_drink, noun",ˈgü-ˌläsh,"Rebusan yang dibuat dengan daging (seperti daging sapi), berbagai macam sayuran, dan paprika",goulash
mojito,"food_drink, noun",mō-ˈhē-tō,"Koktail yang terbuat dari rum, gula, mint, jus jeruk nipis, dan air soda",mojito
chateaubriand,"food_drink, noun",(ˌ)sha-ˌtō-brē-ˈän(d),Steak tenderloin besar biasanya dipanggang atau dipanggang dan disajikan dengan saus (seperti béarnaise),chateaubriand
pho,"food_drink, noun",ˈfə,Sup yang terbuat dari daging sapi atau kaldu ayam dan mie nasi,pho
cobb salad,"food_drink, noun",ˈkäb-,"Salad yang dilemparkan biasanya dengan ayam cincang atau kalkun, tomat, bacon, telur rebus, keju biru, dan selada dan berpakaian dengan vinaigrette",salad cobb
mocha,"food_drink, noun",ˈmō-kə,Biji kopi kecil berbentuk tidak teratur yang ditanam di daerah pegunungan yaman yang menghasilkan kopi bersahaja dan kuat biasanya keasaman sedang hingga tinggi;juga: kopi yang disiapkan dari kacang moka,moka
sushi,"food_drink, noun",ˈsü-shē,"Nasi dingin berpakaian cuka, dibentuk menjadi berbagai bentuk, dan dihiasi terutama dengan sedikit makanan laut atau sayuran mentah",sushi
chow mein,"food_drink, noun",ˈchau̇-ˈmān,"Rebusan daging parut atau potong dadu, jamur, dan sayuran yang biasanya disajikan dengan mie goreng",chow mein
irish coffee,"food_drink, noun",irish coffee,Kopi sugared panas dan wiski irlandia di atasnya dengan krim kocok,kopi irlandia
margarita,"food_drink, noun",ˌmär-gə-ˈrē-tə,"Koktail yang terdiri dari tequila, jeruk nipis atau jus lemon, dan minuman beraroma jeruk",margarita
whiskey sour,"food_drink, noun",whiskey sour,"Koktail biasanya terdiri dari wiski, gula, dan jus lemon terguncang dengan es",whiskey sour
macchiato,"food_drink, noun",ˌmä-kē-ˈä-(ˌ)tō,Espresso atasnya dengan lapisan tipis susu berbusa,macchiato
negroni,"food_drink, noun",ni-ˈgrō-nē,"Koktail yang terdiri dari gin bagian yang sama, campari, dan biasanya vermouth manis",negroni
hot chocolate,"food_drink, noun",hot chocolate,Susu panas yang beraroma cokelat,coklat panas
pasta,"food_drink, noun",ˈpä-stə,Tempel dalam bentuk olahan (seperti makaroni) atau dalam bentuk adonan segar (seperti ravioli),semacam spageti
ratatouille,"food_drink, noun",ˌra-ˌta-ˈtwē,"Rebusan berpengalaman yang terbuat dari terong, tomat, paprika hijau, labu, dan terkadang daging",ratatouille
lemonade,"food_drink, noun",ˌle-mə-ˈnād,Minuman jus lemon manis dicampur dengan air,limun
tacos,"food_drink, noun",ˈtä-(ˌ)kō,"Tortilla jagung renyah atau lembut atau gandum yang dilipat atau digulung dan diisi dengan campuran (seperti daging, keju, dan selada)",taco
ginger beer,"food_drink, noun",ginger beer,Minuman non -alkohol berkarbonasi manis dibumbui dengan jahe atau capsicum atau keduanya,bir jahe
cappuccino,"food_drink, noun",ˌka-pə-ˈchē-(ˌ)nō,Kopi espresso dengan susu panas berbusa atau krim dan sering dibumbui dengan kayu manis,cappuccino
falafel,"food_drink, noun",fə-ˈlä-fəl,Campuran pedas sayuran tanah (seperti buncis atau kacang fava) dibentuk menjadi bola atau roti dan kemudian digoreng,bola goreng terbuat dari buncis
tempura,"food_drink, noun",ˈtem-pə-rə,Makanan laut atau sayuran dicelupkan ke dalam adonan dan digoreng dalam lemak dalam,tempura
latte,"food_drink, noun",ˈlä-(ˌ)tā,Espresso dicampur dengan susu panas atau kukus: caffe latte;juga: minuman serupa yang dibuat dengan bahan (seperti rooibos atau chai) selain espresso,latte
burger,"food_drink, noun",ˈbər-gər,Roti isi daging,burger
gyro,"food_drink, noun",ˈjī-(ˌ)rō,Kompas gyro,gyro
shirley temple,"food_drink, noun",ˈshər-lē-ˈtem-pəl,Minuman campuran nonalkohol dari bir jahe dan grenadine dihiasi dengan ceri,shirley temple
pad thai,"food_drink, noun",ˈpäd-ˈtī,"Hidangan thailand yang terdiri dari mie beras yang diaduk biasanya dengan berbagai bahan tambahan (seperti tauge, kacang, ayam, udang, dan telur)",pad thai
arepas,"food_drink, noun",ə-ˈrā-pə,Kue tepung jagung yang biasanya dipanggang disajikan dalam masakan amerika latin,arepas
arnold palmer,"food_drink, noun",ˈär-nᵊld-ˈpä-mər,Minuman dingin es teh yang dicampur dengan limun,arnold palmer
white russian,"food_drink, noun",white russian,Belarusia,orang rusia berkulit putih
mint julep,"food_drink, noun",mint julep,Julep,mint julep
chimichanga,"food_drink, noun",ˌchi-mē-ˈchäŋ-gə,Tortilla melilit isian (seperti daging) dan goreng,chimichanga
fajitas,"food_drink, noun",fə-ˈhē-tə,Strip yang diasinkan biasanya dari daging sapi atau panggang ayam atau dipanggang dan biasanya disajikan dengan tortilla tepung dan berbagai isian gurih - biasanya digunakan dalam jamak,fajitas
chai latte,"food_drink, noun",chai latte,Minuman panas mirip dengan latte caffe yang dibuat dengan teh hitam berbumbu dan susu kukus,chai latte
bruschetta,"food_drink, noun",brü-ˈshe-tə,"Irisan roti tebal panggang, digosok dengan bawang putih, ditaburi minyak zaitun, sering di atasnya dengan tomat dan rempah -rempah, dan biasanya disajikan sebagai hidangan pembuka",bruschetta
waldorf salad,"food_drink, noun",ˈwȯl-ˌdȯrf-,"Salad yang biasanya dibuat dari apel potong dadu, seledri, kacang -kacangan, dan mayones",salad waldorf
peking duck,"food_drink, noun",ˈpē-ˌkiŋ-,Hidangan cina yang terdiri dari daging bebek panggang dan potongan -potongan kulit bebek renyah atasnya dengan daun bawang dan saus dan dibungkus dengan pancake tipis,bebek peking
bouillabaisse,"food_drink, noun",ˌbü-yə-ˈbās,Rebusan ikan yang sangat berpengalaman dibuat dengan setidaknya dua jenis ikan,bouillabaisse
greek salad,"food_drink, noun",greek salad,"Salad yang dilemparkan biasanya dibuat dengan selada, tomat, mentimun, bawang, zaitun hitam, dan keju feta dan berpakaian dengan minyak zaitun, cuka atau jus lemon, dan oregano",salad yunani
burrito,"food_drink, noun",bə-ˈrē-(ˌ)tō,"Tortilla tepung digulung atau dilipat di sekitar isian (seperti daging, kacang, dan keju)",burrito
espresso,"food_drink, noun",e-ˈspre-(ˌ)sō,Kopi yang diseduh dengan memaksa air panas melalui tanah halus biasanya biji kopi panggang gelap,espreso
fried rice,"food_drink, noun",fried rice,"Piring nasi rebus atau kukus yang digoreng dengan kecap, telur kocok, daging cincang, dan sayuran",nasi goreng
kimchi,"food_drink, noun",ˈkim-chē,"Hidangan sayuran pedas dan menyengat yang terdiri dari satu atau lebih sayuran acar dan difermentasi dan terutama kubis napa dan lobak dengan berbagai bumbu (seperti bawang putih, cabai merah, jahe, daun bawang, dan pasta terti) dan itu adalah hidangan nasional di selatankorea",kimchi
moussaka,"food_drink, noun",mü-ˈsä-kə,Hidangan daging giling timur tengah (seperti domba atau daging sapi) dan terong yang diiris sering di atasnya dengan saus yang dibumbui,moussaka
americano,"food_drink, noun",ə-ˌmer-ə-ˈkä-nō,Kopi yang terdiri dari espresso yang diencerkan dengan air panas: kafe americano,americano
calzone,"food_drink, noun",kal-ˈzōn,Pergantian adonan pizza yang dipanggang atau goreng diisi dengan berbagai isian biasanya termasuk keju,calzone
dim sum,"food_drink, noun",ˈdim-ˈsəm,"Makanan cina tradisional yang terdiri dari berbagai barang (seperti pangsit kukus atau goreng, potongan ayam yang dimasak, dan bola nasi) disajikan dalam porsi kecil",dim sum
caipirinha,"food_drink, noun",ˌkī-pə-ˈrēn-yə,"Koktail yang terdiri dari jeruk nipis, gula, dan rum",caipirinha
martini,"food_drink, noun",mär-ˈtē-nē,Koktail yang terbuat dari gin dan vermouth kering;juga: vodka martini,martini
poutine,"food_drink, noun",pü-ˈtēn,Sepiring kentang goreng yang ditutupi dengan saus coklat dan dadih keju,poutine
guacamole,"food_drink, noun",ˌgwä-kə-ˈmō-lē,Alpukat purba atau tumbuk dibumbui dengan bumbu,guacamole
bibimbap,"food_drink, noun",ˈbē-ˈbēm-ˈbäp,"Hidangan nasi korea dengan sayuran yang dimasak, biasanya daging, dan seringkali telur mentah atau goreng",bibimbap
mai tai,"food_drink, noun",ˈmī-ˌtī,"Koktail yang dibuat dengan rum, curaçao, orgeat, jeruk nipis, dan jus buah",mai tai
cheesecake,"food_drink, noun",ˈchēz-ˌkāk,Makanan penutup yang terdiri dari isian krim yang biasanya mengandung keju yang dipanggang dalam kue atau cangkang roboh yang ditekan,kue keju
virgin mary,"food_drink, noun",virgin mary,Bunda yesus,perawan maria
mimosa,"food_drink, noun",mə-ˈmō-sə,"Salah satu genus (mimosa) pohon, semak, dan ramuan keluarga legum yang terjadi di daerah tropis dan hangat dan biasanya bipinnate sering dedaunan dan kepala bundar bunga putih atau merah muda kecil atau merah muda",mimosa
empanada,"food_drink, noun",ˌem-pə-ˈnä-də,Omsover dengan isian manis atau gurih,empanada
quiche,"food_drink, noun",ˈkēsh,"Pai custard tanpa pemanis biasanya memiliki isian gurih (seperti bayam, jamur, atau ham)",quiche
baklava,"food_drink, noun",ˈbä-klə-ˌvä,"Makanan penutup yang terbuat dari kue tipis, kacang -kacangan, dan madu",baklava
kebab,"food_drink, noun",kə-ˈbäb,Kubus daging (seperti domba atau daging sapi) diasinkan dan dimasak dengan sayuran biasanya pada tusuk sate,kebab
caesar salad,"food_drink, noun",caesar salad,"Salad yang dilemparkan biasanya terbuat dari romaine, bawang putih, ikan teri, dan crouton dan berpakaian dengan minyak zaitun, telur dimanjakan, jus lemon, dan keju parut",caesar salad
sauerbraten,"food_drink, noun",ˈsau̇(-ə)r-ˌbrä-tᵊn,"Daging sapi yang dipanggang atau dipanggang oven diasinkan sebelum dimasak dengan cuka dengan merica, bawang putih, bawang, dan daun salam",sauerbraten
piña colada,"food_drink, noun",ˈpēn-yə-kō-ˈlä-də,"Minuman tinggi yang terbuat dari rum, krim kelapa, dan jus nanas dicampur dengan es",piña colada
coconut water,"food_drink, noun",coconut water,Cairan bening di dalam kelapa muda dan segar,air kelapa
club sandwich,"food_drink, noun",club sandwich,"Sandwich tiga iris roti dengan dua lapisan daging (seperti kalkun) dan selada, tomat, dan mayones",klub sandwich
ceviche,"food_drink, noun",sə-ˈvē-(ˌ)chā,"Hidangan yang terbuat dari ikan mentah yang direndam dalam jeruk nipis atau jus lemon sering dengan minyak, bawang, paprika, dan bumbu dan kadang -kadang berfungsi sebagai camilan atau hidangan pembuka",ceviche
cosmopolitan,"food_drink, adjective",ˌkäz-mə-ˈpä-lə-tən,Memiliki kecanggihan internasional yang luas: duniawi,kosmopolitan
monte cristo sandwich,"food_drink, noun",ˌmän-tē-ˈkri-(ˌ)stō,"Sandwich yang berisi ham, keju, mustard, dan sering kalkun dan mayones, yang dicelupkan ke dalam telur dan goreng, dan yang sering ditaburi dengan gula bubuk dan disajikan dengan selai",monte cristo sandwich
tom collins,"food_drink, noun",ˈtäm-ˈkä-lənz,Collins dengan basis gin,tom collins
croque monsieur,"food_drink, noun",ˌkrȯk-məs-ˈyər,"Sandwich ham dan keju sering dengan saus béchamel yang terkadang dicelupkan ke dalam adonan telur sebelum dipanggang, dipanggang, atau digoreng pan",croque monsieur
hot pot,"food_drink, noun",hot pot,Rebusan daging dan sayuran,pot panas
tiramisu,"food_drink, noun",ˌtir-ə-ˈmē-(ˌ)sü,"Makanan penutup yang dibuat dengan ladyfingers, mascarpone, dan espresso",tiramisu
sangria,"food_drink, noun",saŋ-ˈgrē-ə,"Pukulan es biasanya terbuat dari anggur merah, jus buah atau buah, dan air soda",sangria
tandoori,"food_drink, adjective",tän-ˈdu̇r-ē,Dimasak dengan tandoor,tandoori
risotto,"food_drink, noun",ri-ˈsȯ-(ˌ)tō,Beras yang dimasak biasanya dalam kaldu daging atau makanan laut dan dibumbui (seperti halnya keju atau kunyit parmesan),risotto
tequila sunrise,"food_drink, noun",tequila sunrise,"Koktail yang terdiri dari tequila, jus jeruk, dan grenadine",tequila sunrise
